0885417E 640703N	0994451W 023709S
0305952E 425429N	1294512W 665622S
1513920W 295510N	0711152W 491949S
0584247E 800659S	0845937E 042151N
0041217W 084204N	0710932E 035422S
1100924W 130040S	0260201E 333105N
1312249W 075516N	0962251E 743829N
1445431E 503917N	1693359W 162220S
1341002E 741144S	0975354E 741405N
0263734W 202841S	0323311E 750119N
0352252E 860645S	0494621E 315125S
0850035W 220512S	1034624E 103240S
1643202E 460205S	0582417E 803021S
0935701W 460503S	1312553E 574456S
0515944W 065946S	0720154W 450819S
0162107E 095156N	1410047E 545317N
1580130E 355805N	0102411E 102555N
1410201W 624854N	0094952W 621110N
0404051E 033023N	0150324E 831821N
0642317E 872812S	0390934W 602314N
