0621935W 011203S	0865742E 824008S
1511503W 612240N	0500353W 281458N
0993335E 465214N	0921848E 482321N
1152505E 320223N	0865921E 252120S
1675552W 491210N	0424058W 543227N
1733309E 510035S	0983136W 335541S
1553344E 830151N	0424250E 491946N
1575557E 525552S	0813420E 773314N
0205949W 615809N	1264007W 275545S
1534336W 781149S	0545619E 670427S
0121712E 283353S	1722023E 433947S
0682338W 142456S	0605734W 432446S
1265919E 231115S	0584218W 760304S
0804355W 805645S	1232959W 323255S
0951443W 204458N	1730129W 710319S
1391401W 870401S	1330118W 555723N
0360759E 212228S	0272923W 384716S
0081839W 032739S	0625725E 360347N
0324746E 481132N	0491043W 894910S
0264949E 632828S	1421549W 481643N
0102903W 882311N	1214650E 202100S
0325052W 151754N	0174148W 503825N
0252957E 181213S	0494801W 511448N
0134143E 745315N	0693258W 474100S
0335728W 655624N	1383042W 151303N
1644625E 250732N	0572351E 733228S
0915727W 103929S	0851014W 783232S
0595705W 052026S	0635647E 785553N
1602139E 500356S	0965433W 542813S
0781934W 645112N	0472225W 710558N
