0374323W 291734N	1641004E 731308N
0043145W 372053N	0642135E 813305S
0502951E 201951S	1195545W 490026N
0931157W 800554N	1003211W 575954S
0874507E 195957S	1255207W 892420S
1081723W 590232S	1513408W 022613S
0382039E 714712S	0414749W 183317S
1524157E 115714S	0470525E 362740N
1462031W 144243S	0252129W 230009S
1250747W 160831N	0401353W 531212S
0984427E 582037S	0175637W 314700N
1644800E 040047N	0035429W 185903S
1323026E 354200S	0820305E 440148S
1474932E 034925N	1310202E 742800N
1782723W 183439N	0922933E 532706S
0513915E 111258S	1231847W 625931N
0795508E 243118S	0744151W 892517N
0133317E 262856N	1530529E 412840N
0714851E 234439S	0904325W 145632N
0894959W 861711S	1642920W 685119N
1191157E 113525N	1642356W 485730N
1413023E 010522N	1774354E 854155N
1595346E 282341S	0504358E 311254S
1271750E 750048N	0034438E 634324S
1111124W 690005S	1652218W 185916N
0520636E 230829N	1531520E 775334S
0165823E 632014S	0614214W 313149S
1122656E 373955N	1241610E 502945S
0820939E 220929N	1555455E 611813S
1351047E 551808S	0815723E 715449N
0122803W 125913S	0685829W 262707N
1135429W 170539N	1565356W 002815S
1701859E 431114N	0502957W 582249N
0521921E 361724S	0381838W 693928N
1732803E 185413S	1740040E 250308N
0702944E 612536N	1452300W 060410N
0991317W 781218S	0445758W 242644S
1682816W 623301S	1561656W 571249S
0770642W 812606N	0124107W 785050N
0580633W 054651S	0693045W 874153S
