0113841W 575234N	0635326W 654638S
0374727E 585036N	0774048W 005243N
0932438W 864958N	0560414E 533702N
0722920E 880856S	0280831W 013903N
0134124W 411824N	1393819E 832651S
1681210E 765119N	0634254E 452324N
0154958E 550059S	0851835W 405152S
0110329W 220528N	1362345E 425320S
1291825W 010846N	1100008E 893950S
1262028E 283344N	1311304W 400420N
0704522W 570014S	1383014E 590541N
0770949E 415229S	0705408W 854905N
1052721W 532314S	1733508W 445536S
0162605E 084043N	0611311W 444823S
0484426E 880510S	0603550W 014723S
0402835W 400550S	1254622W 801401S
1782823E 292530N	0101415W 195327N
0650300E 414214S	1502251E 841531N
1325515E 842050S	0303050W 201835N
0643539W 194347N	1743129E 881905S
0462131W 624658S	1572155W 073331N
0261038W 752104N	1260733W 611032S
0960322E 061101N	0741813W 673335N
1311400W 822501N	0643321E 543332N
1125433E 871026N	0374608W 650237S
0493753W 605042N	0351449W 371525N
0295904W 350527N	1381339W 120435S
1272802W 644440N	1295201E 890609N
0171431E 250359N	0841136E 123449S
0095245E 465034N	1324609W 854439N
1771154W 511904N	0663019E 805434N
1391943W 653207N	0185358W 264644N
1733844E 340327S	0280359W 870113S
0625615W 691115N	1501303W 865920S
1150415W 285948S	0251432E 010101S
1761748W 043821N	0925223W 574156S
1391204E 541402N	0813726W 240459S
0654703E 083043S	1182609E 184000N
1580554E 520856S	1262005W 195505S
1290927W 124925S	1093705W 442619N
0941342W 852959S	1024832W 370545S
0451230E 395919S	1503633E 383918S
1600110E 193656N	1484336E 634145N
1641648E 320315N	1592243E 633343N
1055403W 250728N	1144011E 741456S
0934529E 245916S	0241343W 490034S
1633832W 775235N	0564423W 093226N
0535602E 681125S	0284655E 170027S
1155938E 810817N	1310233W 614438S
1214024E 474131N	0801916E 615849S
